256,2325,13/09/2023,Be6287,,0,0
258,2325,13/09/2023,Be6300,,0,0
260,2325,13/09/2023,Be6302,,0,0
262,2325,13/09/2023,Be6303,,0,0
264,2325,13/09/2023,Be6304,,0,0
266,2325,13/09/2023,Be6305,,0,0
268,2325,13/09/2023,Be6306,,0,0
270,2325,13/09/2023,Be6308,,0,0
272,2325,13/09/2023,Be6310,,0,0
274,2325,13/09/2023,Be6311,,0,0
276,2325,13/09/2023,Be6312,,0,0
278,2325,13/09/2023,Be6313,,0,0
280,2325,13/09/2023,Be6315,,0,0
282,2325,13/09/2023,Be6316,,0,0
284,2325,13/09/2023,Be6317,,0,0
286,2325,13/09/2023,Be6318,,0,0
288,2325,13/09/2023,Be6328,,0,0
290,2325,13/09/2023,Be6329,,0,0
292,2325,13/09/2023,Be6330,,0,0
294,2325,13/09/2023,Be6331,,0,0
296,2325,13/09/2023,Be6400,,0,0
298,2325,13/09/2023,Be6401,,0,0
300,2325,13/09/2023,Be6402,,0,0
302,2325,13/09/2023,Be6403,,0,0
304,2325,13/09/2023,Be6404,,0,0
306,2325,13/09/2023,Be6405,,0,0
308,2325,13/09/2023,Be6410,,0,0
310,2325,13/09/2023,Be6411,,0,0
312,2325,13/09/2023,Be6412,,0,0
314,2325,13/09/2023,Be6413,,0,0
316,2325,13/09/2023,Be6414,,0,0
318,2325,13/09/2023,Be6415,,0,0
320,2325,13/09/2023,Be6441,,0,0
322,2325,13/09/2023,Be6446,,0,0
324,2325,13/09/2023,Be6451,,0,0
326,2325,13/09/2023,Be6456,,0,0
328,2325,13/09/2023,Da,,0,0
330,2325,13/09/2023,Db,,0,0
332,2325,13/09/2023,Dc,,0,0
334,2325,13/09/2023,Dd,,0,0
336,2325,13/09/2023,De,,0,0
338,2325,13/09/2023,Df,,0,0
340,2325,13/09/2023,Dg,,0,0
342,2325,13/09/2023,Di,,0,0
344,2325,13/09/2023,Dk,,0,0
346,2325,13/09/2023,Dl,,0,0
348,2325,13/09/2023,Dm,,0,0
350,2325,13/09/2023,Dp,,0,0
352,2325,13/09/2023,Dq,,0,0
354,2325,13/09/2023,Dr,,0,0
356,2325,13/09/2023,Dt,,0,0
358,2325,13/09/2023,Du,,0,0
360,2325,13/09/2023,Dv,,0,0
362,2325,13/09/2023,Dx,,0,0
364,2325,13/09/2023,Dy,,0,0
366,2325,13/09/2023,Elekta.reg,,0,0
368,2325,13/09/2023,Leaf_count,,0,0
370,2325,13/09/2023,Max_leaf_currnt,,0,0
372,2325,13/09/2023,Mlc_cal_data,,0,0
374,2325,13/09/2023,Mlc_gain_adj,,0,0
376,2325,13/09/2023,Mlc_Iso_Centre,,0,0
378,2325,13/09/2023,Mlc_Leaf_Sensor_Dir,,0,0
380,2325,13/09/2023,Mlc_Leaf_Sensor_Gain,,0,0
